year,journal,issue,article_page,first_author,t,method,IV,DID,RCT,RDD,MULTI
2005,American Economic Review,95.1,414,Meghir,3.5669291019439697,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.2698413133621216,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,3.321782112121582,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.4372623562812805,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,7.5,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,4.187233924865723,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.7406014800071716,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.6482412219047546,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.0625,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.5514706373214722,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.692307710647583,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.8690476417541504,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.5882352590560913,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,3.225806474685669,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.7407407164573669,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.9734041690826416,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.4551281929016113,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.5135135650634766,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.6423357725143433,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,4.810880661010742,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.2863636314868927,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.25,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.150259017944336,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,4.128378391265869,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.915384531021118,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.701612949371338,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.3037974834442139,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.6709677577018738,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,3.421428680419922,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,3.736842155456543,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,3.625,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,3.692307710647583,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.6744186878204346,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,3.2285714149475098,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,4.765305995941162,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.8541666865348816,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.048387050628662,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.046875,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.6257668733596802,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.5287356376647949,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,3.1111111640930176,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,4.032432556152344,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,3.9733333587646484,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.2957746982574463,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.5911329984664917,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,4.285714149475098,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,4.60629940032959,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.28947377204895,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,6.226027488708496,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.5955055952072144,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,4.8403754234313965,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,0.3502304255962372,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,2.1157636642456055,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,5.113772392272949,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.044025182723999,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,5.785714149475098,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,5.88505744934082,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.2193877696990967,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.7200000286102295,DID,0,1,0,0,1
2005,American Economic Review,95.1,414,Meghir,1.0773333311080933,DID,0,1,0,0,1
2005,American Economic Review,95.3,510,Duffy,2.0140907764434814,RCT,0,0,1,0,1
2005,American Economic Review,95.3,780,Burgess,2,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,1.5671641826629639,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,0.5769230723381042,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,1.4255318641662598,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,3.3478260040283203,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2.738095283508301,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,3.382352828979492,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,0.8157894611358643,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2.6480445861816406,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,4.663366317749023,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,0.5,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,3.0923078060150146,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,1.1372549533843994,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2.3220338821411133,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,1,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,0.6168224215507507,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,1.8628318309783936,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,3.2272727489471436,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2.6455695629119873,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2.2028985023498535,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2.434163808822632,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,0.5,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2.5824174880981445,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,0.625,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,0.6666666865348816,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2.8082191944122314,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2.5,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,1.125,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,2.846153736114502,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,3.3548386096954346,IV,1,0,0,0,1
2005,American Economic Review,95.3,780,Burgess,3,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,1.100000023841858,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,7.199999809265137,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,2.6968443393707275,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,2.1444106101989746,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,9.25,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,NA,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,1.1875,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,NA,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,0.6176470518112183,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,8,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,0.7272727489471436,IV,1,0,0,0,1
2005,American Economic Review,95.4,1119,Parker,8,IV,1,0,0,0,1
